,Annual return,Cumulative return,Annual volatility,Max drawdown,Alpha,A.pvalue,Beta,B.pvalue
1419852_2016-02-05_2016-06-14,-0.2671150020547238,0.894949462144223,0.05512554935064009,-0.36706137490556634,-0.010924613789915605,0.20176179090949015,1.6300070202682622,0.00010657955328955253
1419852_2016-02-03_2016-06-10,-0.38724438926356375,0.8395202522623755,0.05466110972676431,-0.3670613749055671,-0.012018207747452103,0.15719123339355012,1.52324392603091,0.000164713724337872
1419852_2016-01-19_2016-05-25,-0.423988937044233,0.8211823006308531,0.05161066655285326,-0.33928955801990335,-0.011360450835773639,0.16570866561494596,1.2856759790007306,0.00011905726451266998
1419852_2016-01-14_2016-05-23,-0.5704535106910016,0.7394898288404624,0.05168677289484053,-0.33928955801990346,-0.012105391339022997,0.13994316631080048,1.340544818115955,4.658727189016331e-05
1419852_2016-01-12_2016-05-19,-0.6195458156768321,0.7081218372405806,0.05179903701455815,-0.339289558019903,-0.012139154885702719,0.1370488100088889,1.3198771643461187,2.1457815363950322e-05
1419852_2015-12-22_2016-05-02,-0.30147819888781646,0.8797311855976176,0.051311302495904626,-0.2734892254995096,-0.0037282513309363496,0.6380279856174259,1.357713150423625,3.176450124157346e-06
1419852_2015-12-07_2016-04-15,-0.2557130392031802,0.8998974139873799,0.05181267888945854,-0.3543708676761387,-0.0016130320234608586,0.8396168903407695,1.2307086380496046,6.895425537243159e-06
1419852_2015-11-30_2016-04-08,-0.36964179954309706,0.8480551072273055,0.05360038165875692,-0.37601822209818836,-0.0016395550566350447,0.843374356683507,1.3192713311974367,1.6173141060435933e-06
1419852_2015-10-22_2016-03-02,0.12344273181034437,1.0424468149384223,0.053929573307959736,-0.37601822209818836,0.004694870863623857,0.5622135768035617,1.4379078890900239,1.0189224310849053e-07
1419852_2015-09-11_2016-01-20,-0.3308234211454272,0.8663494792204189,0.047966137806110955,-0.24114414323664068,0.0013572443374332277,0.8475891985534519,1.5372804393562947,4.036656759581308e-09
1419852_2015-06-09_2015-10-14,-0.6883559860450548,0.6594226394426206,0.05195375015146811,-0.37175526760643063,-0.008917164296980085,0.31918293189613245,0.9625809307514762,0.0009171786880367924
1419852_2015-06-02_2015-10-07,-0.5569843561553611,0.7476891762108108,0.05214228157873611,-0.366192835536568,-0.005348616275524187,0.5501221943538546,0.9520138610412668,0.0011486633405900163
1419852_2015-04-09_2015-08-14,-0.2086685921202175,0.9198127594206403,0.026386520275904497,-0.1792507585855806,-0.000959069123743217,0.8258651290657237,0.7437905597822073,0.0027570848164901233
1419852_2015-04-08_2015-08-13,-0.23306498364724226,0.9095830220462159,0.026301338813401614,-0.17937086459738694,-0.0011427814418033533,0.7939429699489446,0.737305842145252,0.00299368203212344
1419852_2015-03-19_2015-07-27,-0.13969226803926238,0.9476807974701339,0.029022583922161414,-0.1945720757584415,-4.30352435452086e-05,0.9928063220643075,1.0909635060456093,0.00014041042982572
1419852_2014-12-15_2015-04-24,0.15268890995240425,1.0520588668944626,0.032607039548249624,-0.09750144995745891,-0.0007213165791351006,0.8948649159444566,0.990690188890395,3.4442583541636304e-05
1419852_2014-12-11_2015-04-22,0.08885493385421572,1.0308692371962693,0.03276818121375519,-0.08888567893395172,-0.0005595199860641831,0.918017297465634,0.9994620944267641,1.9449721038288476e-05
1419852_2014-12-10_2015-04-21,0.05423012480862566,1.0190399780273436,0.03287719398337002,-0.09952001953124956,-0.0008886565467611796,0.8711699079337393,0.9906704766559556,2.499783966196618e-05
1419852_2014-12-08_2015-04-17,0.09282733051117331,1.0322108264668368,0.03236488156134403,-0.10167601901734569,8.618340560029303e-05,0.9873027052288452,0.9264387549330273,4.891543529152604e-05
1419852_2014-12-03_2015-04-14,0.18445443119874994,1.0623229308689697,0.03167044513851254,-0.11425876662926315,0.0010215854954447323,0.8470577633994287,0.9119760667645597,5.0385002132654926e-05
1419852_2014-12-02_2015-04-13,0.14800542508779957,1.0505302202898341,0.031717610401216415,-0.12227079899342375,0.0005929720923198989,0.9112498978969297,0.904918134653758,5.864551648481304e-05
1419852_2014-10-21_2015-03-02,-0.04445085266739435,0.9838921837643246,0.033644793251109674,-0.20765873931422918,-0.004264421847788635,0.4649884849350373,0.9085035968351948,0.0005689134261590814
1419852_2014-09-30_2015-02-06,0.04156861832844738,1.0146519685863562,0.034895369460151544,-0.2076587393142285,-0.001831676819267436,0.7465262621784297,0.9571693190831689,1.8070843051523582e-05
1419852_2014-09-11_2015-01-20,-0.18174270624467637,0.9308704513802422,0.031879984896272,-0.20765873931422885,-0.0038570215707606215,0.443731667615909,0.9585836445450617,4.723588541310786e-06
1419852_2014-09-04_2015-01-12,-0.08341078671668112,0.9693731342956624,0.030764917667528636,-0.20765873931422874,-0.002654060832622984,0.5952716870747026,0.8764483747712559,2.6371332741826495e-05
1419852_2014-08-29_2015-01-07,0.13497453755991562,1.0462558503898287,0.03539955347367707,-0.20765873931422874,0.0001427840012280246,0.9810520700107892,0.8041407458281847,0.0016333974889785443
1419852_2014-08-11_2014-12-16,0.09247637955803056,1.0320924269058378,0.03470221323428379,-0.20765873931422885,-0.0005079874193896217,0.9316915978670184,0.7697567186861995,0.007395407551060517
1419852_2014-08-06_2014-12-11,1.0978325180511361,1.3029211907313838,0.040504428557496815,-0.14336535334737677,0.006388580012705702,0.3719048114412018,0.6918735767547348,0.047622815801437485
1419852_2014-07-15_2014-11-18,2.0828508524913456,1.4949473508603828,0.03746599243174168,-0.14336535334737688,0.011824217687648186,0.07200331899630574,0.873235095994567,0.005484018220385465
1419852_2014-06-12_2014-10-17,0.8547271471056468,1.2468502478453423,0.03759589113271263,-0.14336535334737666,0.007932639850668721,0.22783258963611924,0.8493270034883684,0.014269193910884981
1419852_2014-06-09_2014-10-14,0.5081894794206454,1.1580685099489925,0.03773752734915517,-0.14336535334737632,0.006441194146671325,0.3296749498241359,0.7974075498466258,0.026077824281378174
1419852_2014-06-05_2014-10-10,0.5997551251420048,1.182704511999315,0.037759210808398724,-0.137024496183888,0.006445847778750569,0.33442943711087025,0.8099627920094717,0.02712844581866027
1419852_2014-06-04_2014-10-09,0.7940231555081882,1.232119619118927,0.0377489999523479,-0.1207857213989757,0.007010242685028256,0.2919819245227112,0.8040293560476157,0.03003639248059934
1419852_2014-06-03_2014-10-08,1.0485785191550385,1.2919124295163982,0.037275737536052136,-0.10361899471346436,0.007669748948214039,0.2448542309743848,0.6572935437026972,0.09823944581167411
1419852_2014-04-30_2014-09-05,1.5989408500708504,1.4065059372611837,0.03897133048376013,-0.07692307060033887,0.010545278551621795,0.12194338789404134,0.6816978644183662,0.1583103315749489
1419852_2014-04-28_2014-09-03,0.8459574048909646,1.2447415015999344,0.034699704328213364,-0.07692307060033887,0.006388810766019937,0.2784442136873051,0.7328229414067451,0.08132187247810518
1419852_2014-04-03_2014-08-11,0.42923585141226095,1.136041641235351,0.03678053807237971,-0.11670102778169289,0.005840401548586671,0.3347666743856502,0.7592569831468381,0.04553289380792683
1419852_2014-03-13_2014-07-21,0.1318289225102489,1.045219309044626,0.030231933314229482,-0.11670102778169267,0.004311846357736959,0.38478850460929037,0.5583636239845802,0.09066704846441867
1419852_2014-03-11_2014-07-17,0.1855899899195692,1.0626865577511473,0.030569955441706893,-0.11670102778169267,0.005629088359411227,0.2646498874490294,0.4363135341393336,0.18603628082042567
1419852_2014-03-10_2014-07-16,0.07819139255533147,1.0272522306957008,0.030670064008886118,-0.11670102778169289,0.004165833093237703,0.4050078272876537,0.5693674032385918,0.08817759231771521
1419852_2014-03-05_2014-07-11,0.2280849805922074,1.0761363289572974,0.03055076268895421,-0.116701027781693,0.004878619964063358,0.32876413095295176,0.6596049704892164,0.05100292643051283
1419852_2014-02-19_2014-06-26,0.7131380079295708,1.211985064674122,0.03122261157072876,-0.11670102778169233,0.007163243860969226,0.1522256759353796,0.5087178590022114,0.11576266951943444
1419852_2013-12-04_2014-04-14,1.262169134276368,1.3384929785174844,0.049141678434551604,-0.12920974889837378,0.009941249709845001,0.24661119004152643,0.7005725671089034,0.10198904950812371
1419852_2013-10-29_2014-03-10,1.6568770688082308,1.417624583604842,0.050093712586192475,-0.12920974889837333,0.010247608922288931,0.25224801816142656,0.6429204399460671,0.1793856693940154
1419852_2013-09-06_2014-01-14,0.32850243817350755,1.1067715431516854,0.042003378160537896,-0.15538074354976872,0.0027974377491175595,0.7172768023900042,0.09681721085559378,0.820553874382139
1419852_2013-06-11_2013-10-16,-0.3064930513789377,0.877470317986923,0.039623826926248,-0.31283826120824343,-0.007501391602516283,0.26544370162337855,0.9310880322270536,0.005184941670304304
1419852_2013-06-04_2013-10-09,-0.37588058107689026,0.8450478863317765,0.041617481116935154,-0.31283826120824365,-0.007164941849704731,0.31964535105435116,0.8162105621546334,0.023504045217623927
1419852_2013-03-26_2013-08-01,1.278982246524797,1.3420374098574848,0.03895644558405418,-0.14505298002689226,0.007242403704314615,0.26420373316505463,0.7495694267821168,0.018885609219100985
1419852_2012-12-13_2013-04-24,2.48382798106678,1.561678673772557,0.04051503023047626,-0.09059596989004082,0.012156427174712325,0.08382396094149194,1.1378180945760734,0.0017430331951385281
1419852_2012-12-04_2013-04-15,0.5332613773062407,1.1649076533748626,0.05686180096992553,-0.2516490513708377,0.007491616449603278,0.43608542826126206,1.261466550997623,0.01574665676151208
1419852_2012-11-07_2013-03-19,0.008528177221220679,1.0030374672675342,0.05567152975143455,-0.25164905137083793,0.0004735786364333805,0.9588914846537508,1.7884374944629182,0.0003386971337303168
1419852_2012-10-11_2013-02-22,-0.41244266894374315,0.8270236827054975,0.054806793479371,-0.31738870672932573,-0.00591855974395572,0.5326020891656624,1.2369398663830504,0.009541122225673344
1419852_2012-10-04_2013-02-14,-0.37244249035069454,0.8467074945385726,0.05461866312115678,-0.3226865512221613,-0.003605999156916062,0.7073963094703373,1.2390944979415264,0.008516788777043937
1419852_2012-10-01_2013-02-11,0.05605576182634775,1.0196698765998322,0.05679750153355382,-0.3226865512221614,0.0010882737618289617,0.9140503599896922,1.298510569343292,0.008585785438363198
1419852_2012-09-20_2013-01-31,-0.2353373794398529,0.9086195839581951,0.057673913596127044,-0.32268655122216106,-0.0020099301079926635,0.8424381516385535,1.3275402884638852,0.008719545609651411
1419852_2012-09-06_2013-01-16,-0.4868494104572326,0.7879814820844991,0.057019951324037324,-0.32268655122216094,-0.007013914144658462,0.477537506546305,1.2347336299548086,0.011601290829701854
1419852_2012-07-16_2012-11-21,-0.2502506545969255,0.9022505944687275,0.04957419446961204,-0.2116417955996387,-0.0025809605895381615,0.7555613346715344,1.1349617400486862,0.005854048164827237
1419852_2012-06-29_2012-11-07,-0.06155680528343377,0.9775651495494121,0.049255159417041325,-0.22391633804580535,-0.00039062472610018606,0.9623528610676013,0.897560181511871,0.0333330288609869
1419852_2012-06-13_2012-10-18,0.6582141907307886,1.1979621076174976,0.05322484481082498,-0.22391633804580535,0.003159113534875191,0.7244119297482551,1.1867545004955367,0.004827565831642203
1419852_2012-06-05_2012-10-10,-0.22219994131882626,0.914164338674668,0.06559479275955059,-0.26458924516865134,-0.0005368711312395691,0.9637387203589479,0.3471766175260393,0.5033658203277337
1419852_2012-05-03_2012-09-10,-0.5069452244712517,0.776818756909143,0.07032674909982452,-0.3598027232329344,-0.004732131389714622,0.6980152205843853,0.0794742802921673,0.8729324138174995
1419852_2012-04-10_2012-08-15,-0.4409760115025272,0.8124498957913989,0.07635336786335345,-0.4383384162948797,-0.002371343233378509,0.8576742132458692,-0.1788726298511067,0.7368607480042725
1419852_2012-01-27_2012-06-05,0.4334690406103541,1.137242209918951,0.05810315140793277,-0.30787540185548357,0.00667944313515445,0.5127877220456243,0.368997013041751,0.46860084146327485
1419852_2012-01-10_2012-05-17,1.9526418500444445,1.4720834096272795,0.057198395257179596,-0.2563825611391458,0.012420016178355864,0.21384258673731724,0.8315327063985876,0.12433582645056737
