,gvkey,fyear,mkvalt
6120,062689,2010.0,24211.566
6121,062689,2011.0,23241.976
6122,062689,2011.0,23241.976
6123,062689,2017.0,36812.696
6124,062897,1998.0,947.0301
6125,062689,2017.0,36812.696
6126,062689,2018.0,31566.1
6127,062897,2000.0,1183.0043
6128,062897,2000.0,1183.0043
6129,062897,2001.0,1119.0795
6130,062689,2018.0,31566.1
6131,062689,2018.0,31566.1
6132,062897,2001.0,1119.0795
6133,062897,1999.0,976.7009
6134,062897,2004.0,1218.854
6135,062897,2002.0,880.0839
6136,062897,2002.0,880.0839
6137,062897,2003.0,1014.6848
6138,062897,2003.0,1014.6848
6139,062897,2004.0,1218.854
6140,062897,2006.0,1369.2842
6141,062897,2005.0,1353.6768
6142,062897,2006.0,1369.2842
6143,062897,2005.0,1353.6768
6144,062897,2007.0,2032.0717
6145,062897,2008.0,1414.21
6146,062897,2008.0,1414.21
6147,062897,2010.0,2989.195
6148,062897,2009.0,2936.4714
6149,062897,2009.0,2936.4714
6150,062897,2012.0,3465.246
6151,062897,2007.0,2032.0717
6152,062897,2012.0,3465.246
6153,062897,2010.0,2989.195
6154,062897,2013.0,4757.1277
6155,062897,2013.0,4757.1277
6156,062897,2014.0,3129.966
6157,062897,2014.0,3129.966
6158,062897,2011.0,3162.7528
